Node	EASI304.unmapped.rma6	EASI306.unmapped.rma6	EASI307.unmapped.rma6	EASI308.unmapped.rma6	EASI230.unmapped.rma6	EASI231.unmapped.rma6	EASI232.unmapped.rma6	EASI233.unmapped.rma6	EASI234.unmapped.rma6	EASI235.unmapped.rma6	EASI236.unmapped.rma6	EASI237.unmapped.rma6	EASI238.unmapped.rma6	EASI239.unmapped.rma6	EASI240.unmapped.rma6	EASI241.unmapped.rma6	EASI242.unmapped.rma6	EASI243.unmapped.rma6	EASI244.unmapped.rma6	EASI245.unmapped.rma6	EASI246.unmapped.rma6	EASI247.unmapped.rma6	EASI248.unmapped.rma6	EASI249.unmapped.rma6	EASI250.unmapped.rma6	EASI251.unmapped.rma6	EASI252.unmapped.rma6	EASI253.unmapped.rma6	EASI254.unmapped.rma6	EASI255.unmapped.rma6	EASI256.unmapped.rma6	EASI257.unmapped.rma6	EASI258.unmapped.rma6	EASI259.unmapped.rma6	EASI260.unmapped.rma6	EASI261.unmapped.rma6	EASI262.unmapped.rma6	EASI263.unmapped.rma6	EASI264.unmapped.rma6	EASI265.unmapped.rma6	EASI266.unmapped.rma6	EASI267.unmapped.rma6	EASI268.unmapped.rma6	EASI269.unmapped.rma6	EASI270.unmapped.rma6	EASI271.unmapped.rma6	EASI272.unmapped.rma6	EASI273.unmapped.rma6	EASI274.unmapped.rma6	EASI275.unmapped.rma6	EASI276.unmapped.rma6	EASI277.unmapped.rma6	EASI278.unmapped.rma6	EASI279.unmapped.rma6	EASI280.unmapped.rma6	EASI281.unmapped.rma6	EASI282.unmapped.rma6	EASI283.unmapped.rma6	EASI284.unmapped.rma6	EASI285.unmapped.rma6	EASI286.unmapped.rma6	EASI287.unmapped.rma6	EASI288.unmapped.rma6	EASI290.unmapped.rma6	EASI291.unmapped.rma6	EASI292.unmapped.rma6	EASI293.unmapped.rma6	EASI294.unmapped.rma6	EASI295.unmapped.rma6	EASI296.unmapped.rma6	EASI297.unmapped.rma6	EASI298.unmapped.rma6	EASI299.unmapped.rma6	EASI300.unmapped.rma6	EASI301.unmapped.rma6	EASI302.unmapped.rma6
Bordetella_bronchialis	6	9	6	28	12	11	9	14	15	7	7	10	14	23	18	16	18	26	6	409	18	37	43	7	32	35	30	47	27	41	35	32	43	58	34	46	22	24	31	48	32	14	41	45	19	25	28	15	36	59	27	17	15	15	36	21	20	17	58	19	36	28	16	0	13	31	14	7	23	23	10	33	11	12	6	40
Bordetella_bronchiseptica	12	7	8	17	11	7	5	10	10	12	8	7	12	12	8	13	15	20	7	358	12	22	25	9	18	26	7	12	14	13	13	19	23	53	23	24	19	16	7	20	29	14	15	30	11	11	12	14	20	24	17	14	15	18	20	7	12	13	34	15	28	25	18	1	8	12	10	11	15	18	7	10	13	15	10	24
Bordetella_genomosp._13	6	13	8	37	11	17	9	11	22	10	13	9	14	22	19	22	21	29	16	752	18	35	38	5	42	58	34	38	18	38	26	41	38	72	35	53	24	22	27	66	54	18	57	51	24	22	27	15	50	63	30	29	15	21	34	28	13	19	70	29	40	33	14	1	32	37	7	14	27	31	5	42	27	24	9	41
Bordetella_pertussis	2	3	4	6	4	5	9	3	4	2	4	7	2	11	4	9	6	8	0	194	4	4	8	0	14	18	6	11	5	11	8	5	12	22	9	11	7	6	10	7	6	9	9	16	6	4	12	6	10	13	12	4	3	7	11	4	7	6	22	11	8	9	11	0	2	11	5	6	7	5	2	4	4	7	2	11
Bordetella_pertussis_137	0	0	1	1	0	1	0	1	1	0	1	0	2	0	1	0	0	2	0	42	3	1	2	0	0	0	1	3	0	2	1	4	3	8	6	3	1	1	1	4	2	5	2	2	0	0	2	1	6	2	0	1	0	0	1	0	5	0	4	3	2	2	1	0	0	5	1	1	1	1	1	1	2	4	1	1
Bordetella_pertussis_18323	0	2	0	3	2	4	1	1	3	1	0	4	0	2	3	1	1	2	2	34	1	0	1	0	1	2	3	1	2	2	1	2	2	8	5	2	0	0	1	0	1	1	1	1	0	0	2	1	1	2	2	1	1	1	2	1	2	2	5	3	4	2	1	0	0	1	0	0	1	1	0	1	6	0	1	4
Bordetella_petrii	7	7	10	18	9	4	6	9	5	13	23	10	7	23	22	22	13	28	18	6522	24	14	36	8	23	34	29	44	25	39	23	18	66	73	28	36	20	17	33	37	32	10	46	38	19	13	19	9	28	20	17	17	18	12	26	12	19	9	94	34	21	23	16	0	16	28	10	15	14	20	4	26	11	13	12	23
Bordetella_trematum	5	4	6	20	13	4	3	19	9	9	6	13	5	10	9	20	11	18	8	729	17	20	29	3	18	26	20	24	19	29	25	26	34	99	25	28	11	14	20	22	32	8	32	27	14	19	23	21	19	40	23	10	9	8	22	14	9	8	99	24	28	18	10	0	22	27	10	12	11	17	8	19	17	6	15	23
Borrelia_crocidurae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Borrelia_recurrentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_afzelii	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Borreliella_burgdorferi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_garinii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_abortus	0	0	0	0	1	0	0	1	0	0	1	0	0	0	3	0	0	0	1	10	0	0	1	0	1	0	0	1	0	2	3	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Brucella_canis	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Brucella_melitensis	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Brucella_microti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_ovis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_ovis_ATCC_25840	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Brucella_suis	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Burkholderia_cepacia	13	9	19	28	12	16	14	17	16	13	11	12	11	22	33	27	9	42	8	37	25	33	29	15	24	47	28	49	21	50	24	40	18	32	28	39	21	24	21	35	22	21	33	32	35	22	37	21	34	45	29	21	31	18	35	18	22	23	44	24	35	26	25	1	7	31	11	13	28	21	14	42	19	20	21	37
Burkholderia_cepacia_ATCC_25416	2	5	2	4	7	7	2	3	4	1	1	2	3	7	2	8	5	4	2	7	3	6	7	3	9	9	6	18	9	18	11	14	6	14	12	8	8	5	5	8	6	11	13	16	7	4	3	1	7	15	14	6	2	7	8	7	6	3	7	10	11	12	6	0	5	0	3	8	4	5	6	19	10	5	6	13
Burkholderia_cepacia_JBK9	3	6	1	8	10	9	1	7	5	0	6	5	3	9	9	7	8	9	3	12	7	11	14	4	7	15	13	17	14	17	14	15	2	14	12	13	7	2	13	13	11	5	7	16	9	11	14	7	18	32	10	5	10	10	7	6	3	9	14	3	12	15	7	0	1	7	1	4	6	8	3	16	5	9	2	14
Burkholderia_gladioli	31	19	30	40	35	26	14	31	25	19	9	25	18	31	42	48	33	48	13	68	37	53	53	18	47	58	50	77	40	76	38	60	35	74	53	69	44	35	57	87	81	31	94	77	37	34	42	32	64	99	44	28	35	34	55	33	30	35	58	41	57	72	30	3	25	54	31	18	37	49	25	44	33	34	23	72
Burkholderia_gladioli_BSR3	3	2	3	14	7	8	5	3	11	7	2	5	5	10	13	14	10	8	4	17	12	13	19	5	10	19	12	22	11	12	4	28	7	15	16	17	4	8	15	21	20	14	17	15	3	8	9	8	13	14	14	7	12	9	15	16	8	3	14	9	18	16	10	0	4	14	6	4	2	8	3	21	6	4	7	16
Burkholderia_gladioli_pv._gladioli	27	18	19	31	20	26	20	17	32	13	10	26	21	33	40	35	26	48	13	54	31	41	39	20	38	55	39	98	39	79	34	86	24	60	56	41	31	39	58	62	48	35	67	65	32	25	43	36	37	95	37	19	23	36	55	32	33	32	53	36	62	43	36	2	13	58	19	21	40	22	19	60	45	26	19	70
Burkholderia_mallei	2	1	1	2	1	1	2	3	3	0	1	2	0	1	1	1	3	0	0	4	1	4	11	3	4	1	0	4	2	3	1	2	1	3	4	1	4	2	0	4	6	1	2	3	1	0	1	3	3	6	2	2	5	1	1	1	0	2	3	1	2	2	2	0	2	1	0	2	6	3	1	1	4	1	3	2
Burkholderia_mallei_NCTC_10247	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	2	0	2	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0
Burkholderia_multivorans	10	23	13	42	23	17	22	25	19	17	22	17	16	45	24	32	30	38	10	63	34	57	38	17	53	64	60	70	50	98	36	65	21	45	58	61	35	39	42	64	59	53	47	91	34	36	59	32	38	101	46	46	35	37	49	44	31	22	86	42	67	66	32	0	20	51	19	24	43	46	12	56	39	34	19	78
Burkholderia_multivorans_ATCC_17616	7	2	4	9	3	3	6	10	3	3	1	2	2	3	5	9	10	14	1	20	10	15	7	8	12	10	18	14	9	23	10	17	48	11	18	14	14	11	16	7	13	10	16	20	8	12	19	11	20	23	11	9	13	9	13	14	9	3	24	5	16	9	10	1	4	13	5	12	7	8	5	8	11	6	7	17
Burkholderia_multivorans_ATCC_BAA-247	6	4	4	7	6	4	4	11	9	3	8	4	3	10	5	3	3	10	1	8	9	11	19	2	17	16	13	13	7	20	13	14	8	12	16	16	12	17	14	14	13	6	14	12	8	9	17	14	14	26	12	13	11	13	12	8	9	6	16	6	15	11	12	0	3	11	4	3	3	13	7	11	14	4	1	13
Burkholderia_pseudomallei	15	7	16	30	10	16	24	17	28	13	9	26	10	23	29	26	10	26	4	18	19	28	48	12	19	41	17	41	36	40	21	38	16	27	19	17	26	14	48	27	34	21	18	29	17	19	37	27	34	47	32	17	20	15	30	18	19	15	45	15	33	25	25	3	9	25	7	12	28	20	13	27	27	18	8	34
Burkholderia_pseudomallei_1106b	0	0	0	1	0	1	1	2	3	0	0	0	0	1	1	2	0	0	0	0	0	3	2	0	0	1	0	5	1	0	0	2	1	1	2	1	1	0	0	3	3	1	3	2	2	2	0	2	2	1	0	0	3	0	4	4	2	0	1	1	0	1	1	0	0	0	0	1	2	2	3	3	0	3	2	1
Burkholderia_pseudomallei_7894	0	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	1	0	0	1	0	1	2	3	1	1	1	1	0	0	1	2	1	1	2	1	2	1	0	2	0	1	1	2	0	1	1	1	2	0	0	2	0	1	0	1	0	2	1	1	3	1	1	1	1	2	1	3	0	0	2	0	1	1	2
Burkholderia_pseudomallei_B03	1	4	1	2	1	5	2	2	0	0	0	2	1	0	1	0	0	3	0	0	1	0	3	1	1	2	2	1	2	3	1	2	0	1	4	0	1	2	0	0	5	0	2	0	2	2	0	1	0	2	0	1	1	2	2	2	0	0	2	0	5	0	0	0	0	0	2	1	2	1	0	1	1	2	2	5
Burkholderia_pseudomallei_MSHR1153	2	1	2	2	2	0	1	0	4	0	1	1	1	1	0	1	2	4	1	0	1	1	2	1	2	1	1	1	1	1	3	2	1	0	1	1	2	0	2	1	2	1	2	0	1	1	1	1	1	2	0	0	2	1	0	3	0	0	4	0	1	1	0	1	0	0	1	3	1	1	0	1	0	2	0	0
Burkholderia_pseudomallei_MSHR2543	0	2	2	0	0	0	0	0	3	1	1	1	1	1	1	1	0	1	0	0	2	1	2	1	3	2	0	0	1	0	0	0	0	0	0	2	0	1	1	2	2	1	2	2	1	1	0	1	0	0	1	0	2	0	3	2	1	0	1	0	2	3	2	0	0	3	0	3	0	1	0	2	3	3	0	2
Burkholderia_pseudomallei_MSHR346	0	1	0	0	0	0	0	1	1	0	1	2	0	3	0	0	0	1	0	4	0	0	1	2	3	2	0	1	1	3	0	0	1	1	0	0	0	2	0	1	2	4	0	0	4	1	1	1	1	1	1	2	0	2	1	0	0	0	0	1	0	2	0	1	0	1	0	0	1	1	1	2	3	0	1	2
Burkholderia_pseudomallei_MSHR435	0	0	1	3	0	0	1	0	0	2	1	3	0	0	1	0	0	3	0	0	0	0	0	1	2	1	0	1	0	2	0	1	2	0	0	1	0	1	1	0	1	1	2	1	0	0	0	0	2	1	1	0	0	2	2	2	3	1	3	0	0	2	0	0	0	1	1	1	0	0	0	0	2	1	0	3
Burkholderia_pseudomallei_NCTC_13179	1	0	2	1	0	1	1	4	2	1	1	0	2	0	3	2	2	0	0	0	1	3	3	3	2	1	3	3	2	1	0	2	7	1	1	1	0	1	0	1	1	2	0	1	1	2	1	2	0	0	3	1	2	1	1	0	3	1	2	1	0	1	1	0	0	3	6	6	2	1	0	2	2	1	1	0
Burkholderia_pseudomallei_Pasteur_52237	0	0	2	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	2	0	0	1	0	1	2	1	0	0	0	0	2	1	0	0	4	1	1	1	2	1	0	0	0	2	0	1	1	0	1	1	1	0	2	0	0	2	0	0	0	1	1	1	0	1	1	0
Campylobacter_coli	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	1	1	0	0	0	0	0	0
Campylobacter_fetus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1
Campylobacter_fetus_subsp._venerealis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_gracilis	2	1	0	1	0	0	0	1	1	3	1	0	0	2	0	1	1	2	0	1	1	1	0	2	4	1	6	2	7	0	0	4	0	1	1	3	0	1	0	3	1	0	0	5	1	1	0	1	3	0	1	2	3	2	0	2	0	1	2	0	3	1	1	0	0	0	1	0	0	1	0	2	0	1	0	1
Campylobacter_showae	0	0	0	4	1	0	0	1	2	0	0	1	1	2	0	2	0	1	0	0	0	1	9	3	0	2	0	3	1	1	0	1	2	0	2	1	2	4	0	1	0	1	0	1	0	0	1	1	2	0	1	0	0	3	0	1	0	9	1	5	0	0	1	0	1	0	1	0	0	0	0	3	1	0	0	1
Canine_morbillivirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_abortus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_abortus_LLG	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_caviae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_caviae_GPIC	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
Chlamydia_felis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_felis_Fe/C-56	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Chlamydia_muridarum	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_pecorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Chlamydia_psittaci	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
Chlamydia_suis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	4	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Chlamydia_trachomatis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_ammoniagenes	0	0	2	1	0	1	0	2	0	1	0	1	2	2	3	5	2	1	0	0	1	0	1	2	0	3	0	2	0	0	0	1	2	1	2	2	2	2	0	0	0	1	2	1	2	3	0	1	4	0	2	2	2	3	0	3	1	1	1	0	3	1	1	0	0	0	4	0	0	2	2	0	2	0	3	0
